id	name
323261	Nitrosococcus oceani
228410	Nitrosomonas europaea
323848	Nitrosospira multiformis
247156	Nocardia farcinica
103690	Nostoc sp. PCC7120
279238	Novosphingobium aromaticivorans
221109	Oceanobacillus iheyensis
262768	Onion yellows phytoplasma
9598	Pan troglodytes
272843	Pasteurella multocida
335992	Pelagibacter ubique
338963	Pelobacter carbinolicus
319225	Pelodictyon luteolum
74109	Photobacterium profundum
243265	Photorhabdus luminescens
263820	Picrophilus torridus
5833	Plasmodium falciparum
296591	Polaromonas sp. JS666
242619	Porphyromonas gingivalis
167539	Prochlorococcus marinus CCMP1375
59919	Prochlorococcus marinus CCMP1986
74546	Prochlorococcus marinus MIT9312
74547	Prochlorococcus marinus MIT9313
59920	Prochlorococcus marinus NATL2A
267747	Propionibacterium acnes
264201	Protochlamydia amoebophila
326442	Pseudoalteromonas haloplanktis5
208964	Pseudomonas aeruginosa
220664	Pseudomonas fluorescens Pf5
205922	Pseudomonas fluorescens PfO1
160488	Pseudomonas putida
264730	Pseudomonas syringae 1448A
205918	Pseudomonas syringae B728a
223283	Pseudomonas syringae DC3000
259536	Psychrobacter arcticus
335284	Psychrobacter cryohalolentis
13773	Pyrobaculum aerophilum
272844	Pyrococcus abyssi
186497	Pyrococcus furiosus
70601	Pyrococcus horikoshii
264198	Ralstonia eutropha
266264	Ralstonia metallidurans
267608	Ralstonia solanacearum
10116	Rattus norvegicus
347834	Rhizobium etli
272943	Rhodobacter sphaeroides
338969	Rhodoferax ferrireducens
117	Rhodopirellula baltica
316056	Rhodopseudom. palustris BisB18
316057	Rhodopseudom. palustris BisB5
258594	Rhodopseudom. palustris CGA009
316058	Rhodopseudom. palustris HaA2
269796	Rhodospirillum rubrum
336407	Rickettsia bellii
272944	Rickettsia conorii
315456	Rickettsia felis
272947	Rickettsia prowazekii
257363	Rickettsia typhi
4932	Saccharomyces cerevisiae
203122	Saccharophagus degradans
309807	Salinibacter ruber
295319	Salmonella enterica 9150
321314	Salmonella enterica SCB67
209261	Salmonella enterica Ty2
601	Salmonella typhi CT18
99287	Salmonella typhimurium
4896	Schizosaccharomyces pombe
318161	Shewanella denitrificans
211586	Shewanella oneidensis
300268	Shigella boydii
300267	Shigella dysenteriae
198215	Shigella flexneri 2457T
198214	Shigella flexneri 301
300269	Shigella sonnei
246200	Silicibacter pomeroyi
292414	Silicibacter sp. TM1040
266834	Sinorhizobium meliloti
343509	Sodalis glossinidius
234267	Solibacter usitatus
317655	Sphingopyxis alaskensis
93061	Staphylococcus aureus 8325
93062	Staphylococcus aureus COL
282458	Staphylococcus aureus MRSA252
282459	Staphylococcus aureus MSSA476
196620	Staphylococcus aureus MW2
158878	Staphylococcus aureus Mu50
158879	Staphylococcus aureus N315
273036	Staphylococcus aureus RF122
367830	Staphylococcus aureus USA300
176280	Staphylococcus epidermidis 12228
176279	Staphylococcus epidermidis RP62A
279808	Staphylococcus haemolyticus
342451	Staphylococcus saprophyticus
208435	Streptococcus agalactiae 2603VR
205921	Streptococcus agalactiae A909
211110	Streptococcus agalactiae NEM316
210007	Streptococcus mutans UA159
171101	Streptococcus pneumoniae R6
